lemma	n
berjalan	141
berlari	65
melangkah	48
melompat	38
mengemudi	29
bergegas	21
meluncur	20
melayang	12
melesat	10
menyelinap	10
melaju	9
menerobos	6
merangkak	6
melompat-lompat	5
terpeleset	5
berjalan-jalan	4
mengayunkan	4
berjingkat	3
terbang	3
tersandung	3
berenang	2
melonjak-lonjak	1
mengayun-ayunkan	1
mengendap-endap	1
tergelincir	1
terjembab	1
