lemma	n
menuju	112
kembali	91
masuk	81
berbalik	75
keluar	57
pulang	57
muncul	47
tiba	37
turun	37
jatuh	28
memasuki	27
menjauh	26
naik	22
mendekat	19
berputar	17
menyusuri	16
meninggalkan	15
menuruni	13
terjatuh	13
mengitari	12
maju	11
menaiki	11
pindah	10
beranjak	9
mundur	9
melewati	8
menghampiri	8
menghambur	7
menyeberangi	6
membelok	5
menelusuri	5
berpencar	2
melintasi	2
mengelilingi	1
